P.Uniprot,P.Symbol,Description,Count,CTL1,CTL2,CTL3,CTL4,CTL5,CTL6,CTL7,CTL8,CTL9,CTL10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,AD.pval,PD.pval,CT.mean,AD.mean,PD.mean
Q92599,SEPT8,Septin-8 OS=Homo sapiens SEPT8 PE=1 SV=4,10,0.984573147,1.061903517,1.037608993,0.959764681,1.011382114,0.911819887,1.113696039,0.987944324,1.010392285,1.116187623,1.051967577,1.029350242,0.921840529,1.046748608,1.300312695,1.240275172,0.970721929,1.144583416,1.22085947,1.054957401,0.933716826,0.936004706,1.020485345,0.971110411,0.892808005,0.896310194,0.997148423,0.989101894,0.944293605,1.01451175,0.091291196,0.02830741,1.019527261,1.098161704,0.959549116
F8W8I8,SEPT8,Septin-8 OS=Homo sapiens SEPT8 PE=1 SV=1,10,0.962830887,1.067068989,1.042944785,1.349693252,0.827309237,0.690763052,1.318007663,0.835249042,0.846975089,1.067615658,1.058839665,1.033740228,1.09202454,0.871165644,1.02811245,0.481927711,0.973180077,1.295019157,1.252669039,0.761565836,0.905774242,0.942531889,1.423312883,1.141104294,0.698795181,0.690763052,0.819923372,0.927203065,0.740213523,1.003558719,0.875636461,0.474924006,1.000845765,0.984824435,0.929318022
Q9UHD8,SEPT9,Septin-9 OS=Homo sapiens SEPT9 PE=1 SV=2,10,1.080122673,0.975157194,0.86794652,0.990881042,0.874628577,1.007871553,1.022386123,0.920644677,1.020887728,1.006865874,1.032486746,1.102669215,1.058073363,1.006787796,1.015690976,0.948131158,0.946090282,0.966673496,0.925249009,1.055023692,1.029512391,0.950977068,1.03092218,0.947823106,1.019965595,1.016108012,1.051396572,1.035662091,0.961319021,0.946716952,0.321169618,0.391495989,0.976739196,1.005687573,0.999040299
B5ME97,SEPT10,"Septin 10, isoform CRA_c OS=Homo sapiens SEPT10 PE=1 SV=2",10,0.658278588,1.025275582,0.952939608,0.875349953,0.937787056,0.803340292,1.055120448,0.840429086,0.804180957,1.033153683,1.252124856,1.170693687,0.828156246,0.885748567,1.758663883,1.430480167,1.200029695,1.317174567,1.249714192,1.317328107,0.638162046,0.78632669,0.840954539,1.067324357,0.774112735,0.836743215,0.841691103,0.823428974,0.800587947,0.911971256,0.001560385,0.222417892,0.898585525,1.241011397,0.832130286
Q9NVA2-2,SEPT11,Isoform 2 of Septin-11 OS=Homo sapiens SEPT11,10,1.190391665,0.984198341,1.016584593,1.047602875,1.055658627,1.053358071,0.995799745,1.056809504,1.204207096,0.97222428,0.904611229,1.051746093,0.968698704,1.093337862,0.820333952,0.869536178,0.951124311,0.87390751,0.721279905,1.487297237,1.138143932,1.026220336,1.015792155,0.919680761,1.149684601,1.048682746,1.077619856,1.0827535,1.031034738,1.022146508,0.255557115,0.844943924,1.05768348,0.974187298,1.051175913
Q6ZU15,SEPT14,Septin-14 OS=Homo sapiens SEPT14 PE=1 SV=2,8,1.130542986,0.969570136,1.006346968,1.018864598,1.003834776,0.956064424,1.04983246,1.028782541,,,1.012104072,0.994683258,1.041784203,1.057827927,0.961980936,0.905007122,0.967093393,1.011255262,,,1.069909502,0.984728507,1.041607898,0.988540197,0.981702641,0.969212227,1.04940287,1.017441361,,,0.319296074,0.745370404,1.020479861,0.993967022,1.01281815
A0A0B4J1S4,SEP15,15 kDa selenoprotein OS=Homo sapiens SEP15 PE=1 SV=1,10,1.075962539,0.880332986,1.116923077,0.873846154,1.232830821,1.095477387,0.951219512,0.935815148,1.090909091,1.704545455,0.94276795,1.040582726,1.058461538,1.061538462,0.770519263,0.582914573,0.985237484,0.928112965,1.136363636,1.022727273,1.059313215,0.953173777,0.895384615,1.215384615,0.75041876,0.830820771,0.953786906,1.022464698,0.863636364,0.954545455,0.140700407,0.11165034,1.095786217,0.952922587,0.949892918
P04217,A1BG,Alpha-1B-glycoprotein OS=Homo sapiens A1BG PE=1 SV=4,10,0.753395914,1.715737162,1.002169197,0.915401302,0.919017288,1.776160146,1.288273985,1.069403493,1.106145251,1.311452514,0.867145224,0.897625621,1.030368764,1.093275488,1.04822566,1.16833485,0.642549331,0.828305738,1.022346369,1.491620112,0.715847598,1.041855329,0.921908894,0.800433839,1.559599636,1.110100091,1.041052393,0.885234747,1.182960894,0.994413408,0.188903918,0.235427474,1.185715625,1.008979716,1.025340683
P01023,A2M,Alpha-2-macroglobulin OS=Homo sapiens A2M PE=1 SV=3,10,0.637356929,0.888212219,0.747039037,0.813127173,0.534434775,1.1496223,1.689740177,1.61351871,0.869867574,0.945919953,1.212559781,0.864568593,1.364332759,1.225542019,1.176127579,1.079825065,1.014856448,1.433926605,1.155951764,1.398609159,0.542871984,1.037041681,0.671057467,1.049269299,1.225073994,0.950744357,0.833620931,0.719600979,1.121994525,0.671968632,0.148331854,0.462995294,0.988883885,1.192629977,0.882324385
Q9NRG9,AAAS,Aladin OS=Homo sapiens AAAS PE=1 SV=1,8,1.103368177,1.031358885,,,1.040590406,0.900369004,0.910694598,0.939360529,1.059190031,0.704049844,1.003484321,0.982578397,,,0.944649446,0.981549815,0.961411246,1.016538037,0.803738318,0.529595016,1.205574913,1.226480836,,,1.188191882,0.95202952,0.952590959,1.025358324,0.697819315,0.92211838,0.442772338,0.454171029,0.961122684,0.902943075,1.021270516
Q86V21,AACS,Acetoacetyl-CoA synthetase OS=Homo sapiens AACS PE=1 SV=1,10,0.630786187,0.94140338,1.077145612,0.829315333,1.096018735,0.925839188,0.882888491,0.907633647,1.231364956,0.758954501,0.986039677,1.02149155,0.768563163,0.725168756,0.735362998,1.110070258,0.985448603,0.730371177,0.917715392,0.516940949,1.183137399,1.162013226,0.756027001,0.848601736,0.766588603,1.334894614,0.943584157,1.003346043,0.784123911,0.842207164,0.337863171,0.689127267,0.928135003,0.849717252,0.962452385
Q8N5Z0-2,AADAT,"Isoform 2 of Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial OS=Homo sapiens AADAT",6,,,,,1.235602094,1.235602094,1.194991055,1.191413238,1.480349345,0.995633188,,,,,0.64921466,1.005235602,1.080500894,1.005366726,1.061135371,0.969432314,,,,,0.97382199,0.806282723,1.06738223,0.96124031,1.200873362,1.489082969,0.016415168,0.25723392,1.222265169,0.961814261,1.083113931
Q2M2I8,AAK1,AP2-associated protein kinase 1 OS=Homo sapiens AAK1 PE=1 SV=3,10,1.302223743,0.993271753,0.926928362,1.118002031,1.031252342,1.10889605,1.077115963,0.870457526,1.099771794,1.044454587,0.904869426,0.996099897,0.99635538,1.101750612,0.723975118,0.935771566,1.02387933,0.937311936,0.82464628,0.786672752,1.135591287,1.091891892,1.158630579,0.906375097,1.014014839,1.121486922,1.057325824,1.155273513,1.034596075,1.072569603,0.019646992,0.698779397,1.057237415,0.92313323,1.074775563
A0A096LP25,AAK1,AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens AAK1 PE=1 SV=1,8,1.171717172,0.924242424,,,1.107438017,0.578512397,1.055064935,0.797142857,0.740740741,0.780626781,1.113636364,0.997474747,,,1.26446281,1.247933884,1.025454545,0.881818182,1.150997151,0.871794872,0.787878788,0.838383838,,,1.198347107,1.107438017,1.057662338,1.092987013,1.014245014,0.678062678,0.072861814,0.437737015,0.894435665,1.069196569,0.971875599
E9PNP3,AAMDC,Mth938 domain-containing protein OS=Homo sapiens AAMDC PE=1 SV=1,10,0.663142545,1.170251549,0.923832924,1.063882064,0.975359343,1.030800821,1.057388411,0.95092875,0.767241379,1.172413793,1.059423988,0.790740066,0.886977887,0.911547912,1.482546201,1.324435318,0.930413086,0.841142223,1.603448276,1.663793103,0.879693766,1.004739336,0.972972973,1.233415233,1.039014374,1.032854209,0.877183255,0.816745218,0.456896552,1.232758621,0.162796185,0.796384264,0.977524158,1.149446806,0.954627354
E9PR47,AAMDC,Mth938 domain-containing protein OS=Homo sapiens AAMDC PE=1 SV=1,10,0.692056583,1.050054407,0.963249516,1.121856867,0.988732394,1.05915493,1.033959249,0.979624451,0.767241379,1.172413793,1.019586507,0.780195865,0.823984526,0.847195358,1.456338028,1.450704225,0.881342389,0.825409509,1.603448276,1.663793103,0.821545158,1.04570185,0.878143133,1.176015474,1.146478873,1.03943662,0.846184579,0.757491011,0.456896552,1.232758621,0.234466067,0.633109241,0.982834357,1.135199779,0.940065187
C9JEH3,AAMP,Angio-associated migratory cell protein OS=Homo sapiens AAMP PE=1 SV=1,10,0.883726867,0.87121889,1.129344729,1.01994302,0.901628664,1.03713355,1.06039461,1.058710298,0.967148489,0.812089356,1.060370134,0.978430121,0.92991453,1.002849003,1.003257329,1.084039088,1.021896054,0.999037536,0.82260184,1.019710907,0.92507977,0.930440332,1.029059829,1.079202279,1.157003257,0.974592834,0.972569779,1.107555342,0.919842313,1.00131406,0.655516544,0.404265886,0.974133847,0.992210654,1.00966598
A2A2Q9,AAR2,Protein AAR2 homolog OS=Homo sapiens AAR2 PE=1 SV=1,6,,,0.923076923,0.884615385,1.174061433,0.853242321,,,1.107569721,0.446215139,,,1.096153846,0.711538462,1.481228669,1.071672355,,,1.179282869,1.243027888,,,1.096153846,1.115384615,1.078498294,0.880546075,,,0.533864542,0.924302789,0.144206806,0.7776421,0.898130154,1.130484015,0.938125027
P49588,AARS,"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens AARS PE=1 SV=2",10,0.916117542,1.055851949,1.006157635,1.036535304,1.01401164,0.969864195,1.062085403,0.988628205,0.994704157,0.94014554,1.01094119,1.065670371,0.871305419,0.925287356,1.008579435,1.062125458,0.982009017,1.025672688,1.071360536,0.667352459,0.961756166,1.02295869,0.936302682,1.026477833,0.966673852,0.976762233,0.946701892,1.014358326,0.935954585,1.015125538,0.491943122,0.350482623,0.998410157,0.969030393,0.98030718
Q5JTZ9,AARS2,"Alanine--tRNA ligase, mitochondrial OS=Homo sapiens AARS2 PE=1 SV=1",10,1.045140301,0.981970991,1.226571767,1.141162515,1.045558087,1.219817768,0.945365683,1.064060045,0.507246377,0.862318841,1.039311373,1.034973566,0.638196916,1.269276394,0.766514806,0.687927107,0.741490662,1.056728923,0.652173913,0.65942029,1.077809408,0.879625864,1.122182681,1.039145907,0.979498861,1.054669704,0.880781986,1.044859487,1.065217391,0.891304348,0.141019445,0.99549478,1.003921237,0.854601395,1.003509564
Q9BTE6,AARSD1,Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens AARSD1 PE=1 SV=2,10,0.783802178,1.027903811,1.088193457,0.911806543,1.23673226,1.307096005,1.044875473,1.005164696,1.117037037,1.031111111,1.035163339,1.09777677,0.804409673,0.911095306,1.02444842,1.15921288,0.998278435,0.838976242,0.915555556,0.844444444,1.004990926,0.565562613,0.798719772,0.872688478,0.808586762,1.140131187,1.005164696,0.973028808,1.072592593,1.348148148,0.141902405,0.257449392,1.055372257,0.962936106,0.958961398
Q9BTE6-3,AARSD1,Isoform 3 of Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens AARSD1,10,0.769851952,1.027529671,1.088193457,0.911806543,1.23673226,1.307096005,1.047092126,1.00128667,1.134380454,1.054101222,1.037317998,1.106080998,0.804409673,0.911095306,1.02444842,1.15921288,0.993051981,0.861554297,0.809773124,0.785340314,0.989110486,0.54080509,0.798719772,0.872688478,0.808586762,1.140131187,0.99742666,0.974781266,1.082024433,1.35078534,0.107554854,0.242173851,1.057807036,0.949228499,0.955505947
Q9NRN7,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens AASDHPPT PE=1 SV=2,10,0.90131986,1.055166014,0.979846722,0.865171729,0.893543956,1.124313187,0.958981612,1.105453402,0.993688007,1.079350766,0.922148897,0.983089297,0.728356514,0.948055634,0.978708791,1.048076923,1.022787993,0.986955838,1.15509468,1.124436429,0.942977934,0.941224995,0.72949191,0.89015044,0.958791209,0.976648352,1.02750275,1.011263031,1.00270514,1.165915239,0.902038665,0.505142051,0.995683526,0.9897711,0.9646671
Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Homo sapiens AASS PE=1 SV=1",10,0.65756705,1.272190294,0.694497154,0.784313725,0.886331939,0.923291492,0.844984802,1.070777247,0.8581363,0.681502086,0.964399745,0.79853129,1.085388994,0.807084124,0.906555091,1.00488145,1.125054277,0.968736431,1.324061196,1.393602225,1.003512133,0.714559387,0.576850095,0.867805187,1.048117155,0.823570432,0.953538862,0.587060356,0.76077886,0.870653686,0.065885064,0.561449048,0.867359209,1.037829482,0.820644615
Q6ZMQ8,AATK,Serine/threonine-protein kinase LMTK1 OS=Homo sapiens AATK PE=1 SV=2,10,1.033144705,1.219078416,0.989858012,1.012170385,0.874226804,1.140206186,1.088825215,0.876790831,1.573770492,1.039812646,1.036378335,1.209377526,0.955375254,0.961460446,0.880412371,1.131958763,1.151862464,0.963896848,0.655737705,0.707259953,1.238480194,1.131770412,0.92494929,0.9168357,1.257731959,1.255670103,1.045272206,1.266475645,0.679156909,1.180327869,0.181317106,0.956906775,1.084788369,0.965371967,1.089667029
H3BRN4,ABAT,"4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens ABAT PE=1 SV=1",10,1.049913968,0.889955755,1.019553308,1.026801517,1.045845746,1.072989076,0.874972317,1.069724179,1.049784398,0.725989808,0.954157193,0.993209611,0.936451749,1.073830594,0.718718967,0.886709699,0.983643071,0.933401672,0.86676249,0.687921948,0.967906962,1.046134702,1.014749263,0.917235567,0.948444224,1.077540549,1.082556616,1.038010086,1.185330372,1.018859706,0.149655292,0.29419168,0.982553007,0.903480699,1.029676805
A0A087WXK5,ABCA2,ATP-binding cassette sub-family A member 2 OS=Homo sapiens ABCA2 PE=1 SV=1,10,0.765963392,1.176470588,1.218503401,0.894693878,0.982782952,0.935930003,1.263285178,0.867943741,0.922089041,1.227739726,1.13231801,0.987564622,0.736326531,0.766802721,1.55574372,1.666948913,0.997008846,1.313434736,1.538527397,1.375,0.777420707,0.889199385,0.890884354,0.913741497,0.83996613,1.064069997,0.838414052,0.915165786,0.867294521,0.96489726,0.146011655,0.050242365,1.02554019,1.20696755,0.896105369
Q99758,ABCA3,ATP-binding cassette sub-family A member 3 OS=Homo sapiens ABCA3 PE=1 SV=2,9,0.965349965,0.948024948,0.934579439,0.822429907,1.578947368,1.684210526,0.881586402,1.079886686,1.129720854,0.88998358,1.065142065,1.053361053,0.836448598,0.831775701,1.289473684,0.5,0.980169972,1.047025496,0.84729064,0.709359606,1.121968122,0.878724879,0.724299065,0.626168224,,0.921052632,1.018696884,1.036827195,0.94909688,0.830870279,0.152969344,0.106114082,1.091471968,0.916004682,0.900856018
Q8WWZ7,ABCA5,ATP-binding cassette sub-family A member 5 OS=Homo sapiens ABCA5 PE=2 SV=2,10,1.02288188,0.955473098,0.981263012,1.125607217,1.153638814,1.150044924,1.103770361,0.926529217,0.978461538,0.646153846,0.936920223,1.009894867,0.902151284,1.097848716,0.810422282,1.081761006,0.944982344,1.037931427,0.787692308,0.495384615,1.065553494,1.05318491,1.040943789,0.877168633,0.900269542,0.995507637,1.097619319,1.079394008,1.083076923,1.08,0.222270527,0.676393879,1.004382391,0.910498907,1.027271826
O94911-3,ABCA8,Isoform 3 of ATP-binding cassette sub-family A member 8 OS=Homo sapiens ABCA8,10,0.53829653,1.079621451,0.826833073,0.895475819,1.100052383,0.898899948,1.643074048,0.927353422,0.800236407,0.895981087,1.326687697,1.099053628,1.1950078,0.833073323,1.616553169,1.451021477,1.077318384,1.507124504,1.262411348,0.878250591,0.764416404,1.103091483,0.998439938,1.020280811,0.842325825,1.063383971,0.840925018,0.897453866,0.829787234,0.93498818,0.044343397,0.752764446,0.960582417,1.224650192,0.929509273
P08183,ABCB1,Multidrug resistance protein 1 OS=Homo sapiens ABCB1 PE=1 SV=3,10,0.888000727,0.85875193,1.2088,0.9856,0.933507171,1.123859192,0.891031568,1.118478404,0.972766885,1.013071895,0.786629122,0.951948406,1.1416,1.1896,0.970013038,1.071707953,1.063796064,0.978470479,0.887799564,0.773420479,0.844036697,0.881642293,1.0312,0.9656,1.014341591,1.180356367,1.134592524,1.08334434,1.005446623,0.927015251,0.759389533,0.884713516,0.999386777,0.981498511,1.006757569
Q9NRK6,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Homo sapiens ABCB10 PE=1 SV=2",8,1.148244473,1.014954486,0.946445959,0.876338851,0.841025641,1.323076923,1.009215126,1.020654592,,,0.869310793,1.020806242,0.977604674,0.930866602,0.851282051,0.841025641,0.970448046,0.9202415,,,0.994148244,1.05786736,1.108081792,0.926971762,1.374358974,0.953846154,0.921512552,0.889736257,,,0.113849115,0.941597355,1.022494506,0.922698194,1.028315387
Q9NP58,ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial OS=Homo sapiens ABCB6 PE=1 SV=1",10,1.016981737,0.960589555,1.190184049,0.788343558,1.143712575,1.101796407,0.991702175,0.966584436,1.398230088,0.424778761,0.942646588,0.900352451,0.883435583,0.855828221,0.775449102,1.200598802,1.388203633,0.939224041,0.592920354,0.477876106,1.195129766,1.097725088,0.647239264,1.202453988,1.386227545,1.053892216,0.928907827,0.76519399,1.407079646,0.96460177,0.390884418,0.564111756,0.998290334,0.895653488,1.06484511
O75027-2,ABCB7,"Isoform 2 of ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens ABCB7",10,1.04563791,0.982065614,1.006224066,1.024204703,1.033691041,1.146992763,0.954492024,1.08077246,1.204780876,0.957768924,1.043304982,0.99363305,0.967496542,1.034578147,0.804591964,0.91739456,0.947271201,0.961041142,1.083665339,0.446215139,1.05963548,1.068383961,1.127939142,0.98340249,1.046169204,0.948839531,0.958690176,0.973299748,0.984860558,1.117131474,0.066795519,0.615940222,1.043663038,0.919919206,1.026835176
Q9NUT2,ABCB8,"ATP-binding cassette sub-family B member 8, mitochondrial OS=Homo sapiens ABCB8 PE=1 SV=3",10,0.988215488,1.205948373,1.207331976,1.06802444,1.014699706,1.018899622,0.932422055,1.111657196,0.986960883,0.909729188,0.875,1.009820426,0.893686354,1.023217923,1.278454431,1.164216716,1.039318077,0.822147136,0.94884654,0.506519559,0.900813692,1.023989899,1.156008147,1.279022403,1.008819824,0.919781604,1.263707572,1.018891107,1.12337011,1.058174524,0.246436804,0.56331298,1.044388893,0.956122716,1.075257888
Q6P2Q0,ABCB9,ABCB9 protein OS=Homo sapiens ABCB9 PE=1 SV=1,7,0.909462916,1.465984655,1.047732697,1,,0.508196721,1.301968635,0.824491158,,,1.13657289,1.216368286,1.164677804,1.131264916,0.819672131,1.360655738,1.171838505,1.293293293,,,0.834782609,1.312531969,1.00477327,0.751789976,0.213114754,0.442622951,0.816149483,0.730397064,,,0.244403443,0.167890889,1.008262397,1.161792946,0.763270259
Q9NP78,ABCB9,ATP-binding cassette sub-family B member 9 OS=Homo sapiens ABCB9 PE=1 SV=1,5,0.909462916,1.465984655,,,,0.508196721,1.292558288,0.824976046,,,1.13657289,1.216368286,,,1.557377049,1.360655738,1.162248483,1.282018524,,,0.834782609,1.312531969,,,0.213114754,0.442622951,0.811561801,0.737144682,,,0.126227322,0.261041033,1.000235725,1.285873495,0.725293128
O15439,ABCC4,Multidrug resistance-associated protein 4 OS=Homo sapiens ABCC4 PE=1 SV=3,8,0.368253968,0.933333333,0.846153846,1.461538462,0.846153846,1.038461538,1.03285776,0.958063121,,,0.86984127,0.99047619,1.794871795,0.358974359,1.173076923,0.846153846,1.003026373,1.200172936,,,0.825396825,0.603174603,1.205128205,2.230769231,0.846153846,0.855769231,0.755728491,0.717682663,,,0.606535874,0.750548558,0.935601984,1.029574211,1.004975387
